#DEG_AC	#Gene_Name	#Gene_Ref	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG20010011	SEN34	GI:6319322	-	-	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010012	CDC15	GI:6319328	-	-	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II	Saccharomyces cerevisiae	NC_001133	Rich medium
DEG20010013	HTA2	GI:6319470	-	-	Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010014	UTP20	GI:14270688	-	-	Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010015	RRN6	GI:6319457	-	-	Protein involved in the transcription of 35S rRNA genes by RNA polymerase I; component of the core factor (CF) complex also composed of Rrn11p, Rrn7p and TATA-binding protein	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010016	POP8	GI:6319453	-	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010017	RFT1	GI:6319451	-	-	Essential integral membrane protein that is required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010018	MCM2	GI:6319448	-	-	Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010019	LSM2	GI:6319445	-	-	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010020	PET9	GI:6319441	-	-	Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; required for viability in many common lab strains carrying a mutation in the polymorphic SAL1 gene	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010021	STU1	GI:6319437	-	-	Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010022	POL12	GI:6319436	-	-	B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010023	ERD2	GI:6319431	-	-	HDEL receptor, an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010024	PRE7	GI:6319430	-	-	Beta 6 subunit of the 20S proteasome	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010025	SEC17	GI:6319421	-	-	Peripheral membrane protein required for vesicular transport between ER and Golgi and for the 'priming' step in homotypic vacuole fusion, part of the cis-SNARE complex; has similarity to alpha-SNAP	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010026	AAR2	GI:6319398	-	-	Component of the U5 snRNP, required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010027	ILS1	GI:6319395	-	-	Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010028	CDC27	GI:6319387	-	-	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010029	RPL32	GI:6319378	-	-	Protein component of the large (60S) ribosomal subunit, has similarity to rat L32 ribosomal protein; overexpression disrupts telomeric silencing	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010030	BRN1	GI:41629672	-	-	Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010031	SFT2	GI:6319366	-	-	Non-essential tetra-spanning membrane protein found mostly in the late Golgi, can suppress some sed5 alleles; may be part of the transport machinery, but precise function is unknown; similar to mammalian syntaxin 5	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010032	PKC1	GI:6319363	-	-	Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC)	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010033	RER2	GI:6319474	-	-	Cis-prenyltransferase involved in dolichol synthesis; participates in endoplasmic reticulum (ER) protein sorting	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010034	GPI18	GI:6319476	-	-	Functional ortholog of human PIG-V, which is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic, non-tagged protein was localized to mitochondria	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010035	HHF1	GI:6319481	-	-	Histone H4, core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010036	IPP1	GI:6319483	-	-	Cytoplasmic inorganic pyrophosphatase (PPase), homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010037	SCO2	GI:6319498	-	-	Protein anchored to the mitochondrial inner membrane, similar to Sco1p and may have a redundant function with Sco1p in delivery of copper to cytochrome c oxidase; interacts with Cox2p	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010038	CDS1	GI:6319503	-	-	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010039	CHS2	GI:6319512	-	-	Chitin synthase II, requires activation from zymogenic form in order to catalyze the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for the synthesis of chitin in the primary septum during cytokinesis	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010040	REB1	GI:6319523	-	-	RNA polymerase I enhancer binding protein; DNA binding protein which binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010041	PRP6	GI:6319529	-	-	Splicing factor, component of the U4/U6-U5 snRNP complex	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010042	TSC3	GI:14270689	-	-	Protein that stimulates the activity of serine palmitoyltransferase (Lcb1p, Lcb2p) several-fold; involved in sphingolipid biosynthesis	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010043	ORC2	GI:6319534	-	-	Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010044	ALG14	GI:6319544	-	-	Component of UDP-GlcNAc transferase required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010045	RPG1	GI:6319553	-	-	Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010046	SEC18	GI:6319554	-	-	ATPase required for the release of Sec17p during the 'priming' step in homotypic vacuole fusion and for ER to Golgi transport; homolog of the mammalian NSF	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010047	RFC5	GI:6319562	-	-	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010048	POL30	GI:6319564	-	-	Proliferating cell nuclear antigen (PCNA), functions as the sliding clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010049	TIM12/MRS5	GI:6319567	-	-	Essential protein of the inner mitochondrial membrane, peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010050	EXO84	GI:6319578	-	-	Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010051	CMD1	GI:6319585	-	-	Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010052	ALG1	GI:6319586	-	-	Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability, mutation is functionally complemented by human ortholog	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010053	GRS1	GI:6319597	-	-	Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010054	TFC1	GI:6319600	-	-	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010055	CKS1	GI:6319611	-	-	Cyclin-dependent protein kinase regulatory subunit and adaptor; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010056	MEC1	GI:6319612	-	-	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010057	IRA1	GI:6319616	-	-	GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010058	MAK5	GI:6319618	-	-	Essential nucleolar protein, putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010059	SUP45	GI:6319619	-	-	Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010060	SPP381	GI:6319628	-	-	mRNA splicing factor, component of U4/U6.U5 tri-snRNP; interacts genetically and physically with Prp38p	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010061	RIB7	GI:6319629	-	-	Diaminohydroxyphoshoribosylaminopyrimidine deaminase; catalyzes the second step of the riboflavin biosynthesis pathway	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010062	RPB5	GI:6319630	-	-	RNA polymerase subunit ABC27, common to RNA polymerases I, II, and III; contacts DNA and affects transactivation	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010063	CNS1	GI:6319631	-	-	TPR-containing co-chaperone; binds both Hsp82p (Hsp90) and Ssa1p (Hsp70) and stimulates the ATPase activity of SSA1, ts mutants reduce Hsp82p function while over expression suppresses the phenotypes of an HSP82 ts allele and a cpr7 deletion	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010064	AMN1	GI:6319634	-	-	Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability; contains 12 degenerate leucine-rich repeat motifs; expression is induced by the Mitotic Exit Network (MEN)	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010065	CDC28	GI:6319636	-	-	Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010066	POP7	GI:6319644	-	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010067	RIM2	GI:6319669	-	-	Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010068	MED8	GI:6319670	-	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010069	PGI1	GI:6319673	-	-	Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010070	TAF5	GI:6319675	-	-	Subunit (90 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010071	MCM7	GI:6319679	-	-	Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010072	AME1	GI:6319688	-	-	Essential kinetochore protein associated with microtubules and spindle pole bodies; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010073	DAD3	GI:21450619	-	-	Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010074	ARC40	GI:6319711	-	-	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010075	ABD1	GI:6319713	-	-	Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010076	PRP5	GI:6319714	-	-	RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010077	ALG7	GI:6319720	-	-	UDP-N-acetyl-glucosamine-1-P transferase, transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010078	ENP1	GI:6319724	-	-	Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010079	DUT1	GI:6319729	-	-	dUTPase, catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010080	SRB6	GI:6319730	-	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010081	TRS20	GI:6319731	-	-	One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; mutations in the human homolog cause the spondyloepiphyseal dysplasia tarda (SEDL) disorder	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010082	RIB5	GI:6319733	-	-	Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010083	POP4	GI:6319734	-	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends; binds to the RPR1 RNA subunit in RNase P	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010084	TSC10	GI:6319742	-	-	3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis, essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine, member of short chain dehydrogenase/reductase protein family	Saccharomyces cerevisiae	NC_001134	Rich medium
DEG20010085	PGS1	GI:10383778	-	-	Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010086	NFS1	GI:10383773	-	-	Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010087	RRP7	GI:6319818	-	-	Essential protein involved in rRNA processing and ribosome biogenesis	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010088	PDI1	GI:6319806	-	-	Protein disulfide isomerase, multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010089	PBN1	GI:6319797	-	-	Essential component of glycosylphosphatidylinositol-mannosyltransferase I, required for the autocatalytic post-translational processing of the protease B precursor Prb1p, localizes to ER in lumenal orientation; homolog of mammalian PIG-X	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010090	SPB1	GI:6319796	-	-	AdoMet-dependent methyltransferase involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010091	KRR1	GI:6319791	-	-	Essential nucleolar protein required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010092	HMLALPHA2	GI:6319785	-	-	Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010093	PGK1	GI:10383781	-	-	3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010094	RRP43	GI:10383796	-	-	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp43p (OIP2, EXOSC8)	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010095	MATALPHA2	GI:63536787	-	-	Homeobox-domain protein that, with Mcm1p, represses a-specific genes in haploids; acts with A1p to repress transcription of haploid-specific genes in diploids; one of two genes encoded by the MATalpha mating type cassette	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010096	RSC6	GI:6319900	-	-	Component of the RSC chromatin remodeling complex; essential for mitotic growth; homolog of SWI/SNF subunit Swp73p	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010097	CTR86	GI:6319902	-	-	Essential protein of unknown function; upstream region contains a Gcn4p responsive site suggesting a possible role in amino acid biosynthesis	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010098	PWP2	GI:6319903	-	-	Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010099	RSA4	GI:10383804	-	-	WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010100	CDC39	GI:10383811	-	-	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010101	HMRA2	GI:6319939	-	-	Silenced copy of a2 at HMR; similarity to Alpha2p; required along with a1p for inhibiting expression of the HO endonuclease in a/alpha HO/HO diploid cells with an active mating-type interconversion system	Saccharomyces cerevisiae	NC_001135	Rich medium
DEG20010102	MCD1	GI:6320201	-	-	Essential subunit of the cohesin complex required for sister chromatid cohesion in mitosis and meiosis; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010103	ATP16	GI:6320200	-	-	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010104	RPT2	GI:6320197	-	-	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010105	APC11	GI:6320196	-	-	Catalytic core subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010106	SLX5	GI:6320191	-	-	Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex, stimulated by SUMO-modified substrates; contains a RING domain and two SIMs (SUMO-interacting motifs); forms SUMO-dependent nuclear foci, including DNA repair centers	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010107	NOP1	GI:6320190	-	-	Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010108	TSC13	GI:6320189	-	-	Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation, localizes to the ER, highly enriched in a structure marking nuclear-vacuolar junctions, coimmunoprecipitates with elongases Fen1p and Sur4p	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010109	CDC7	GI:6320187	-	-	DDK (Dbf4-dependent kinase) catalytic subunit required for firing origins and replication fork progression in mitosis through phosphorylation of Mcm2-7p complexes and Cdc45p; kinase activity correlates with cyclical DBF4 expression	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010110	MPS1	GI:6320176	-	-	Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, and checkpoint protein Mad1p	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010111	ARP2	GI:6320175	-	-	Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity	Saccharomyces cerevisiae	NC_001136	Rich medium
DEG20010112	PRP9	GI:6320174	-	-	Subunit of the SF3a splicing factor complex, required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex	Saccharomyces cerevisiae	NC_001136	Rich medium
