UniProtKB	DIP	Entry.name	Protein.names	Gene.names	Length	Gene.names.ORF	Gene.names.ordered.locus	Gene.names.synonym	Gene.names.primary	Cross.ref.RefSeq	Cross.ref.EnsembleFungi	Cross.ref.GeneID	Cross.ref.CYGD	Cross.ref.SGD	Probe.Set.IDs
P50278	DIP-962N	SOL1_YEAST	6-phosphogluconolactonase-like protein 1	SOL1 YNR034W N3291	321	N3291	YNR034W	---	SOL1	NP_014432.3;	YNR034W;	855769;	YNR034w;	S000005317;	8788_at;8837_at
P33418	DIP-760N	XPOT_YEAST	Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin)	LOS1 YKL205W	1100	---	YKL205W	---	LOS1	NP_012717.1;	YKL205W;	853630;	YKL205w;	S000001688;	10761_at
P14922	DIP-696N	CYC8_YEAST	General transcriptional corepressor CYC8 (Glucose repression mediator protein CYC8)	CYC8 CRT8 SSN6 YBR112C YBR0908	966	YBR0908	YBR112C	CRT8 SSN6	CYC8	NP_009670.3;	YBR112C;	852410;	---	S000000316;	7248_at
P27705	DIP-665N	MIG1_YEAST	Regulatory protein MIG1 (Regulatory protein CAT4)	MIG1 CAT4 SSN1 YGL035C	504	---	YGL035C	CAT4 SSN1	MIG1	NP_011480.1;	YGL035C;	852848;	YGL035c;	S000003003;	5027_at
P12385	DIP-800N	ERF1_YEAST	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1)	SUP45 SAL4 SUP1 YBR143C YBR1120	437	YBR1120	YBR143C	SAL4 SUP1	SUP45	NP_009701.3;	YBR143C;	852440;	---	S000000347;	7234_at
P05453	DIP-376N	ERF3_YEAST	Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	685	YD9395.05	YDR172W	GST1 PNM2 SAL3 SUF12 SUP2	SUP35	NP_010457.3;	YDR172W;	851752;	YDR172w;	S000002579;	6318_at
P19262	DIP-1102N	ODO2_YEAST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	KGD2 YDR148C YD8358.05C	463	YD8358.05C	YDR148C	---	KGD2	NP_010432.3;	YDR148C;	851726;	YDR148c;	S000002555;	6339_at
P09624	DIP-41N	DLDH_YEAST	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine decarboxylase complex subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component)	LPD1 DHLP1 YFL018C	499	---	YFL018C	DHLP1	LPD1	NP_116635.1;	YFL018C;	850527;	YFL018c;	S000001876;	5367_at
P20967	DIP-365N	ODO1_YEAST	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)	KGD1 OGD1 YIL125W	1014	---	YIL125W	OGD1	KGD1	NP_012141.1;	YIL125W;	854681;	YIL125w;	S000001387;	4231_at
P31688	DIP-823N	TPS2_YEAST	Trehalose-phosphatase (EC 3.1.3.12) (Trehalose synthase complex catalytic subunit TPS2) (Trehalose-6-phosphate phosphatase) (TPP)	TPS2 PFK3 YDR074W YD8554.07	896	YD8554.07	YDR074W	PFK3	TPS2	NP_010359.1;	YDR074W;	851646;	YDR074w;	S000002481;	6398_at
Q00764	DIP-744N	TPS1_YEAST	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	TPS1 BYP1 CIF1 FDP1 GGS1 GLC6 TSS1 YBR126C YBR0922	495	YBR0922	YBR126C	BYP1 CIF1 FDP1 GGS1 GLC6 TSS1	TPS1	NP_009684.1;	YBR126C;	852423;	YBR126c;	S000000330;	7217_at
P38426	DIP-891N	TPS3_YEAST	Trehalose synthase complex regulatory subunit TPS3 (Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 115 kDa subunit)	TPS3 YMR261C YM8156.03C	1054	YM8156.03C	YMR261C	---	TPS3	NP_013988.1;	YMR261C;	855303;	YMR261c;	S000004874;	9355_at
P38427	DIP-753N	TSL1_YEAST	Trehalose synthase complex regulatory subunit TSL1 (Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 123 kDa subunit)	TSL1 YML100W	1098	---	YML100W	---	TSL1	NP_013608.1;	YML100W;	854872;	YML100w;	S000004566;	9743_at;9744_at
P53886	DIP-970N	APC1_YEAST	Anaphase-promoting complex subunit 1	APC1 YNL172W N1677	1748	N1677	YNL172W	---	APC1	NP_014227.4;	YNL172W;	855549;	YNL172w;	S000005116;	9041_at
P09798	DIP-25N	CDC16_YEAST	Anaphase-promoting complex subunit CDC16 (Cell division control protein 16)	CDC16 YKL022C	840	---	YKL022C	---	CDC16	NP_012903.1;	YKL022C;	853846;	YKL022c;	S000001505;	10585_at
P14724	DIP-352N	CDC26_YEAST	Anaphase-promoting complex subunit CDC26 (Cell division control protein 26)	CDC26 HIT3 SCD26 YFR036W	124	---	YFR036W	HIT3 SCD26	CDC26	NP_116694.1;	YFR036W;	850597;	YFR036w;	S000001932;	5316_at;5335_at
P16522	DIP-589N	CDC23_YEAST	Anaphase-promoting complex subunit CDC23 (Cell division control protein 23)	CDC23 YHR166C	626	---	YHR166C	---	CDC23	NP_012036.1;	YHR166C;	856571;	YHR166c;	S000001209;	4371_at
P38042	DIP-796N	CDC27_YEAST	Anaphase-promoting complex subunit CDC27 (Anaphase-promoting complex subunit 3) (Cell division control protein 27)	CDC27 APC3 SNB1 YBL084C YBL0718	758	YBL0718	YBL084C	APC3 SNB1	CDC27	NP_009469.2;	YBL084C;	852194;	YBL084c;	S000000180;	7457_at
P00899	DIP-542N	TRPE_YEAST	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	TRP2 YER090W	507	---	YER090W	---	TRP2	NP_011014.1;	YER090W;	856824;	---	S000000892;	5619_at
P00937	DIP-543N	TRPG_YEAST	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	TRP3 YKL211C	484	---	YKL211C	---	TRP3	NP_012711.1;	YKL211C;	853669;	YKL211c;	S000001694;	10801_at
P03965	DIP-1023N	CARB_YEAST	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)	CPA2 YJR109C J2002	1118	J2002	YJR109C	---	CPA2	NP_012643.3;	YJR109C;	853573;	YJR109c;	S000003870;	10902_at
P07258	DIP-1024N	CARA_YEAST	Carbamoyl-phosphate synthase arginine-specific small chain (CPS-A) (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, glutamine chain)	CPA1 YOR303W	411	---	YOR303W	---	CPA1	NP_014947.3;	YOR303W;	854479;	YOR303w;	S000005829;	8237_at
P13712	DIP-338N	MSI1_YEAST	Chromatin assembly factor 1 subunit p50 (CAF-1 p50 subunit) (IRA1 multicopy suppressor) (Protein MSI1)	MSI1 CAC3 YBR195C YBR1405	422	YBR1405	YBR195C	CAC3	MSI1	NP_009754.1;	YBR195C;	852494;	YBR195c;	S000000399;	7151_at
Q04199	DIP-811N	CAC2_YEAST	Chromatin assembly factor 1 subunit p60 (CAF-1 60 kDa subunit)	CAC2 YML102W	468	---	YML102W	---	CAC2	NP_013605.1;	YML102W;	854869;	YML102w;	S000004570;	9740_at
Q12495	DIP-923N	RLF2_YEAST	Chromatin assembly factor 1 subunit p90 (CAF-1 90 kDa subunit) (RAP1 localization factor 2)	RLF2 CAC1 YPR018W YP9531.12	606	YP9531.12	YPR018W	CAC1	RLF2	NP_015343.1;	YPR018W;	856129;	YPR018w;	S000006222;	7725_at
P46677	DIP-839N	TAF1_YEAST	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (TAFII-130) (TAFII-145) (TBP-associated factor 1) (TBP-associated factor 145 kDa)	TAF1 TAF130 TAF145 YGR274C G9374	1066	G9374	YGR274C	TAF130 TAF145	TAF1	NP_011790.1;	YGR274C;	853191;	YGR274c;	S000003506;	4750_at
P13393	DIP-44N	TBP_YEAST	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)	SPT15 BTF1 TBP1 YER148W	240	---	YER148W	BTF1 TBP1	SPT15	NP_011075.3;	YER148W;	856891;	---	S000000950;	5503_at;5542_at
P23255	DIP-343N	TAF2_YEAST	Transcription initiation factor TFIID subunit 2 (TAFII-150) (TBP-associated factor 150 kDa) (TBP-associated factor 2) (TSM-1)	TAF2 TAF150 TSM1 YCR042C YCR42C YCR724	1407	YCR42C YCR724	YCR042C	TAF150 TSM1	TAF2	NP_009971.1;	YCR042C;	850409;	YCR042c;	S000000638;	6830_at
P46678	DIP-964N	TFC5_YEAST	Transcription factor TFIIIB component B'' (TFIIIB90)	BDP1 TFC5 YNL039W N2682	594	N2682	YNL039W	TFC5	BDP1	NP_014359.3;	YNL039W;	855689;	YNL039w;	S000004984;	8902_at
P29056	DIP-191N	TF3B_YEAST	Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)	BRF1 PCF4 TDS4 YGR246C	596	---	YGR246C	PCF4 TDS4	BRF1	NP_011762.1;	YGR246C;	853161;	YGR246c;	S000003478;	4766_at
P06701	DIP-595N	SIR3_YEAST	Regulatory protein SIR3 (Silent information regulator 3)	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	978	L9753.10	YLR442C	CMT1 MAR2 STE8	SIR3	NP_013547.3;	YLR442C;	851163;	---	S000004434;	9891_at
P61830	DIP-417N	H3_YEAST	Histone H3	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	136	YBR0201; N2749	YBR010W; YNL031C	; SIN2	HHT1; HHT2	NP_009564.1;NP_014367.1;	YBR010W;YNL031C;	852295;855700;	---	S000000214;S000004976;	7368_i_at;7369_s_at;8910_at
P02309	DIP-418N	H4_YEAST	Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	103	YBR0122; N2752	YBR009C; YNL030W	; 	HHF1; HHF2	NP_009563.1;NP_014368.1;	YBR009C;YNL030W;	852294;855701;	---	S000000213;S000004975;	8911_s_at
P11978	DIP-33N	SIR4_YEAST	Regulatory protein SIR4 (Silent information regulator 4)	SIR4 ASD1 STE9 UTH2 YDR227W YD9934.12	1358	YD9934.12	YDR227W	ASD1 STE9 UTH2	SIR4	NP_010513.1;	YDR227W;	851813;	YDR227w;	S000002635;	6238_at
P11938	DIP-851N	RAP1_YEAST	DNA-binding protein RAP1 (Repressor/activator site-binding protein) (SBF-E) (TUF)	RAP1 GRF1 TUF1 YNL216W N1310	827	N1310	YNL216W	GRF1 TUF1	RAP1	NP_014183.1;	YNL216W;	855505;	YNL216w;	S000005160;	9087_at
P02293	DIP-416N	H2B1_YEAST	Histone H2B.1 (Suppressor of Ty protein 12)	HTB1 H2B1 SPT12 YDR224C YD9934.09C	131	YD9934.09C	YDR224C	H2B1 SPT12	HTB1	NP_010510.3;	YDR224C;	851810;	---	S000002632;	6235_at
P06700	DIP-596N	SIR2_YEAST	NAD-dependent histone deacetylase SIR2 (EC 3.5.1.-) (Regulatory protein SIR2) (Silent information regulator 2)	SIR2 MAR1 YDL042C D2714	562	D2714	YDL042C	MAR1	SIR2	NP_010242.1;	YDL042C;	851520;	YDL042c;	S000002200;	6510_at
P38959	DIP-834N	VPS41_YEAST	Vacuolar protein sorting-associated protein 41 (Vacuolar morphogenesis protein 2)	VPS41 FET2 VAM2 YDR080W D446 YD8554.13	992	D446 YD8554.13	YDR080W	FET2 VAM2	VPS41	NP_010365.3;	YDR080W;	851653;	YDR080w;	S000002487;	6404_at
Q07468	DIP-1002N	VAM6_YEAST	Vacuolar morphogenesis protein 6 (Vacuolar protein sorting-associated protein 39)	VAM6 CVT4 VPL18 VPL22 VPS39 YDL077C	1049	---	YDL077C	CVT4 VPL18 VPL22 VPS39	VAM6	NP_010206.1;	YDL077C;	851482;	YDL077c;	S000002235;	6566_at
P25296	DIP-510N	CANB_YEAST	Calcineurin subunit B (Calcineurin regulatory subunit) (Protein phosphatase 2B regulatory subunit)	CNB1 YCN2 YCNB YKL190W	175	---	YKL190W	YCN2 YCNB	CNB1	NP_012731.1;	YKL190W;	853644;	---	S000001673;	10772_at;10773_at
P23287	DIP-662N	PP2B1_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1) (Calmodulin-binding protein 1)	CNA1 CMP1 YLR433C L9753.6	553	L9753.6	YLR433C	CMP1	CNA1	NP_013537.1;	YLR433C;	851153;	YLR433c;	S000004425;	9880_at
P14747	DIP-833N	PP2B2_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	CMP2 CNA2 YML057W YM9958.05	604	YM9958.05	YML057W	CNA2	CMP2	NP_013655.1;	YML057W;	854946;	YML057w;	S000004521;	9698_at
P06245	DIP-549N	KAPB_YEAST	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	TPK2 PKA2 YKR1 YPL203W	380	---	YPL203W	PKA2 YKR1	TPK2	NP_015121.1;	YPL203W;	855898;	YPL203w;	S000006124;	7955_at
P05986	DIP-550N	KAPC_YEAST	cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11)	TPK3 PKA3 YKL166C YKL630	398	YKL630	YKL166C	PKA3	TPK3	NP_012755.1;	YKL166C;	853688;	YKL166c;	S000001649;	10753_at
P25302	DIP-847N	SWI4_YEAST	Regulatory protein SWI4 (Cell-cycle box factor subunit SWI4) (Protein ART1)	SWI4 ART1 YER111C	1093	---	YER111C	ART1	SWI4	NP_011036.1;	YER111C;	856847;	YER111c;	S000000913;	5596_at
P09959	DIP-598N	SWI6_YEAST	Regulatory protein SWI6 (Cell-cycle box factor subunit SWI6) (MBF subunit P90) (Trans-acting activator of HO endonuclease gene)	SWI6 YLR182W L9470.8	803	L9470.8	YLR182W	---	SWI6	NP_013283.1;	YLR182W;	850879;	YLR182w;	S000004172;	10163_at
P24869	DIP-658N	CG22_YEAST	G2/mitotic-specific cyclin-2	CLB2 YPR119W P9642.6	491	P9642.6	YPR119W	---	CLB2	NP_015444.1;	YPR119W;	856236;	YPR119w;	S000006323;	7651_at
P29295	DIP-157N	HRR25_YEAST	Casein kinase I homolog HRR25 (EC 2.7.11.1)	HRR25 YPL204W	494	---	YPL204W	---	HRR25	NP_015120.1;	YPL204W;	855897;	YPL204w;	S000006125;	7954_at
P23292	DIP-720N	KC12_YEAST	Casein kinase I homolog 2 (EC 2.7.11.1)	YCK2 CKI1 YNL154C N1755	546	N1755	YNL154C	CKI1	YCK2	NP_014245.1;	YNL154C;	855568;	YNL154c;	S000005098;	9014_at
P23291	DIP-719N	KC11_YEAST	Casein kinase I homolog 1 (EC 2.7.11.1)	YCK1 CKI2 YHR135C	538	---	YHR135C	CKI2	YCK1	NP_012003.1;	YHR135C;	856537;	YHR135c;	S000001177;	4384_at
P53540	DIP-938N	SPC98_YEAST	Spindle pole body component SPC98	SPC98 YNL126W N1222 N1879	846	N1222 N1879	YNL126W	---	SPC98	NP_014273.1;	YNL126W;	855597;	YNL126w;	S000005070;	8996_at
P53378	DIP-821N	TBG_YEAST	Tubulin gamma chain (Gamma-tubulin)	TUB4 YLR212C L8167.21	473	L8167.21	YLR212C	---	TUB4	NP_013313.1;	YLR212C;	850909;	YLR212c;	S000004202;	10104_at
P38863	DIP-826N	SPC97_YEAST	Spindle pole body component SPC97	SPC97 YHR172W	823	---	YHR172W	---	SPC97	NP_012042.1;	YHR172W;	856577;	YHR172w;	S000001215;	4377_at
P32380	DIP-702N	SP110_YEAST	Spindle pole body component 110 (Extragenic suppressor of CMD1-1 mutant protein 1) (Nuclear filament-related protein 1) (Spindle pole body spacer protein SPC110)	SPC110 NUF1 XCM1 YDR356W D9476.3	944	D9476.3	YDR356W	NUF1 XCM1	SPC110	NP_010643.3;	YDR356W;	851957;	YDR356w;	S000002764;	6097_at
P19454	DIP-1038N	CSK22_YEAST	Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1)	CKA2 YOR061W YOR29-12	339	YOR29-12	YOR061W	---	CKA2	NP_014704.1;	YOR061W;	854227;	---	S000005587;	8489_at
P07149	DIP-742N	FAS1_YEAST	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	FAS1 YKL182W	2051	---	YKL182W	---	FAS1	NP_012739.1;	YKL182W;	853653;	YKL182w;	S000001665;	10781_at
P19097	DIP-960N	FAS2_YEAST	Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)]	FAS2 YPL231W P1409	1887	P1409	YPL231W	---	FAS2	NP_015093.1;	YPL231W;	855845;	YPL231w;	S000006152;	7973_at
P33304	DIP-824N	AFR1_YEAST	Protein AFR1	AFR1 YDR085C D4471	620	D4471	YDR085C	---	AFR1	NP_010370.1;	YDR085C;	851658;	YDR085c;	S000002492;	6409_at
P32468	DIP-853N	CDC12_YEAST	Cell division control protein 12 (Septin)	CDC12 CLA10 PSL7 YHR107C	407	---	YHR107C	CLA10 PSL7	CDC12	NP_011975.1;	YHR107C;	856507;	YHR107c;	S000001149;	4445_at
Q07350	DIP-1001N	PRP11_YEAST	Pre-mRNA-splicing factor PRP11	PRP11 PRP10 RNA11 YDL043C D2711	266	D2711	YDL043C	PRP10 RNA11	PRP11	NP_010241.1;	YDL043C;	851518;	YDL043c;	S000002201;	6509_at
P19736	DIP-651N	PRP9_YEAST	Pre-mRNA-splicing factor PRP9	PRP9 YDL030W D2773	530	D2773	YDL030W	---	PRP9	NP_010254.1;	YDL030W;	851531;	YDL030w;	S000002188;	6522_at
P43639	DIP-282N	CSK2B_YEAST	Casein kinase II subunit beta (CK II beta)	CKB1 YGL019W	278	---	YGL019W	---	CKB1	NP_011496.3;	YGL019W;	852865;	YGL019w;	S000002987;	5043_at
P12294	DIP-2N	ENS2_YEASX	Endonuclease SceI small subunit (EC 3.1.21.-) (Endo.SceI 50 kDa subunit) (Maturase-like RF3 protein)	ENS2 RF3	476	---	---	RF3	ENS2	---	---	---	---	S000029698;	---
P16649	DIP-512N	TUP1_YEAST	General transcriptional corepressor TUP1 (Flocculation suppressor protein) (Glucose repression regulatory protein TUP1) (Repressor AER2)	TUP1 AAR1 AER2 AMM1 CYC9 FLK1 SFL2 UMR7 YCR084C YCR84C	713	YCR84C	YCR084C	AAR1 AER2 AMM1 CYC9 FLK1 SFL2 UMR7	TUP1	NP_010007.1;	YCR084C;	850445;	YCR084c;	S000000680;	6823_at
P04911	DIP-419N	H2A1_YEAST	Histone H2A.1	HTA1 H2A1 SPT11 YDR225W YD9934.10	132	YD9934.10	YDR225W	H2A1 SPT11	HTA1	NP_010511.3;	YDR225W;	851811;	---	S000002633;	6236_i_at
P14306	DIP-669N	CPYI_YEAST	Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)	TFS1 DKA1 NSP1 YLR178C L9470.19	219	L9470.19	YLR178C	DKA1 NSP1	TFS1	NP_013279.1;	YLR178C;	850875;	YLR178c;	S000004168;	10158_at
P40368	DIP-913N	NUP82_YEAST	Nucleoporin NUP82 (Nuclear pore protein NUP82)	NUP82 YJL061W HRB187 J1135	713	HRB187 J1135	YJL061W	---	NUP82	NP_012474.1;	YJL061W;	853385;	YJL061w;	S000003597;	11096_at
P36517	DIP-940N	RM04_YEAST	54S ribosomal protein L4, mitochondrial (YmL4)	MRPL4 YLR439W L9753.1	319	L9753.1	YLR439W	---	MRPL4	NP_013544.1;	YLR439W;	851160;	YLR439w;	S000004431;	9887_at
Q00916	DIP-663N	RU17_YEAST	U1 small nuclear ribonucleoprotein 70 kDa homolog (U1 70K) (U1 snRNP 70 kDa homolog) (U1-70K) (U1 small nuclear ribonucleoprotein SNP1) (U1 snRNP protein SNP1)	SNP1 YIL061C	300	---	YIL061C	---	SNP1	NP_012203.1;	YIL061C;	854749;	YIL061c;	S000001323;	4156_at
P38999	DIP-776N	LYS9_YEAST	Saccharopine dehydrogenase [NADP(+), L-glutamate-forming] (EC 1.5.1.10) (Saccharopine reductase)	LYS9 LYS13 YNR050C N3461	446	N3461	YNR050C	LYS13	LYS9	NP_014448.1;	YNR050C;	855786;	YNR050c;	S000005333;	8808_at
P47093	DIP-903N	LSM8_YEAST	U6 snRNA-associated Sm-like protein LSm8	LSM8 YJR022W J1464 YJR83.16	109	J1464 YJR83.16	YJR022W	---	LSM8	NP_012556.2;	YJR022W;	853479;	YJR022w;	S000003783;	11000_at
Q02875	DIP-961N	SYH1_YEAST	SMY2 homolog 2	SYH1 YPL105C	849	---	YPL105C	---	SYH1	NP_015220.1;	YPL105C;	855999;	YPL105c;	S000006026;	7875_at
Q12186	DIP-991N	BBP_YEAST	Branchpoint-bridging protein (Mud synthetic-lethal 5 protein) (Splicing factor 1) (Zinc finger protein BBP)	MSL5 BBP SF1 YLR116W L2949	476	L2949	YLR116W	BBP SF1	MSL5	NP_013217.1;	YLR116W;	850807;	YLR116w;	S000004106;	10235_at
P38167	DIP-791N	ECM21_YEAST	Protein ECM21 (Extracellular mutant protein 21)	ECM21 YBL101C YBL0814	1117	YBL0814	YBL101C	---	ECM21	NP_009449.1;	YBL101C;	852173;	YBL101c;	S000000197;	7485_at
P40567	DIP-816N	MSL1_YEAST	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	MSL1 YIR009W YIB9W	111	YIB9W	YIR009W	---	MSL1	NP_012274.1;	YIR009W;	854826;	YIR009w;	S000001448;	4090_at
P31244	DIP-697N	RAD16_YEAST	DNA repair protein RAD16 (EC 3.6.4.-) (ATP-dependent helicase RAD16)	RAD16 YBR114W YBR0909	790	YBR0909	YBR114W	---	RAD16	NP_009672.1;	YBR114W;	852411;	YBR114w;	S000000318;	7250_at
P32606	DIP-895N	PT127_YEAST	Putative mitochondrial translation system component PET127	PET127 YOR017W OR26.07	800	OR26.07	YOR017W	---	PET127	NP_014660.1;	YOR017W;	854182;	YOR017w;	S000005543;	8535_at
P38883	DIP-804N	RIX1_YEAST	Pre-rRNA-processing protein RIX1 (Involved in processing IST2 protein 2) (Ribosomal export protein 1)	RIX1 IPI2 YHR197W	763	---	YHR197W	IPI2	RIX1	NP_012067.4;	YHR197W;	856604;	YHR197w;	S000001240;	4311_at
P40070	DIP-848N	LSM4_YEAST	U6 snRNA-associated Sm-like protein LSm4	LSM4 SDB23 USS1 YER112W	187	---	YER112W	SDB23 USS1	LSM4	NP_011037.3;	YER112W;	856848;	YER112w;	S000000914;	5597_at
Q04052	DIP-1012N	ARO80_YEAST	Transcriptional activator ARO80	ARO80 YDR421W D9461.10	950	D9461.10	YDR421W	---	ARO80	NP_010709.1;	YDR421W;	852031;	YDR421w;	S000002829;	6027_at
P40020	DIP-844N	FIR1_YEAST	Factor interacting with REF2 (PAP1-interacting protein) (Polymerase-interacting protein 1)	FIR1 PIP1 YER032W	876	---	YER032W	PIP1	FIR1	NP_010949.4;	YER032W;	856754;	YER032w;	S000000834;	5687_at
